cores,size,time
96,1,10.421356
12,1,13.796761
24,1,13.104494
48,1,15.110291
192,1,17.009095
96,2,9.840122
12,2,18.835173
24,2,10.145835
48,2,29.537201
192,2,9.731587
96,4,10.904001
12,4,36.615166
24,4,19.149339
192,4,9.908588
48,4,40.794172
96,8,14.798221
24,8,31.415734
192,8,11.113452
12,8,59.735544
48,8,107.302229
96,16,20.070834
192,16,14.869621
24,16,37.951733
12,16,114.129356
48,16,180.570313
96,32,35.92224
192,32,19.969314
24,32,70.953583
12,32,223.626057
48,32,332.01036
96,64,68.263916
192,64,40.381407
24,64,135.033901
12,64,440.144454
48,64,688.015384
192,128,80.819871
96,128,150.152228
24,128,274.194341
12,128,887.853539
48,128,1516.561856
192,256,247.665669
96,256,347.223161
24,256,661.845315
12,256,1858.973963
48,256,2941.817429
192,512,504.56011
96,512,719.257578
24,512,1257.061857
12,512,3745.252526
48,512,5842.507635
192,1024,947.192887
96,1024,1392.732032
24,1024,2585.229957
12,1024,8261.243858
48,1024,7470.488122
192,2048,1896.499105
96,2048,2792.202851
24,2048,5098.920353
12,2048,18288.83479
48,2048,14984.142218
